death_year,state_abbr,state_name,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pct,black_pct,latinx_pct,native_pct,white_pct,total_incarceration,total_incarceration_rate,total_prison_pop,female_prison_pop,male_prison_pop
2019,NJ,NEW JERSEY,6087087,3033799,3053288,10.82,13.99,21.55,0.19,53.45,27332,449,18613,701,17912
2018,NJ,NEW JERSEY,6082722,3036466,3046256,10.66,13.94,21.17,0.18,54.05,30540,502,19362,770,18592
2017,NJ,NEW JERSEY,6076287,3037969,3038318,10.52,13.9,20.75,0.18,54.64,31558,519,19585,774,18811
2016,NJ,NEW JERSEY,6057120,3032611,3024509,10.27,13.88,20.36,0.19,55.31,33113,546,19786,834,18952
2015,NJ,NEW JERSEY,6045490,3032036,3013454,10.05,13.85,20.01,0.19,55.9,35136,581,20489,908,19581
2019,NM,NEW MEXICO,1341230,662768,678462,2.01,2.4,50.56,9.59,35.45,13171,982,6723,677,6046
2018,NM,NEW MEXICO,1341358,664065,677293,1.97,2.34,50.09,9.56,36.04,13559,1010,7030,774,6256
2017,NM,NEW MEXICO,1345438,667168,678270,1.93,2.32,49.55,9.51,36.69,14868,1105,7276,784,6492
2016,NM,NEW MEXICO,1350901,671176,679725,1.92,2.29,49.01,9.43,37.36,14922,1104,7055,711,6344
2015,NM,NEW MEXICO,1353840,673690,680150,1.89,2.27,48.47,9.35,38.02,15699,1159,7104,706,6398
2019,NV,NEVADA,2009794,982565,1027229,10.21,10.34,30.14,1.02,48.28,20137,1001,12840,1239,11601
2018,NV,NEVADA,1975686,967117,1008569,10.06,10.17,29.68,1.03,49.07,21001,1063,13641,1292,12349
2017,NV,NEVADA,1943320,952628,990692,10.0,9.95,29.22,1.03,49.8,21106,1086,13721,1280,12441
2016,NV,NEVADA,1915638,940154,975484,9.86,9.68,28.75,1.03,50.69,20897,1090,13757,1267,12490
2015,NV,NEVADA,1889781,928455,961326,9.71,9.41,28.26,1.04,51.58,20171,1067,13071,1166,11905
2019,NY,NEW YORK,13388715,6732022,6656693,9.92,15.66,19.86,0.37,54.19,64306,480,43500,1928,41572
2018,NY,NEW YORK,13451681,6771614,6680067,9.79,15.64,19.69,0.37,54.51,69250,514,46636,2092,44544
2017,NY,NEW YORK,13489535,6799386,6690149,9.68,15.62,19.47,0.37,54.87,74478,552,49461,2277,47184
2016,NY,NEW YORK,13519634,6823474,6696160,9.52,15.58,19.28,0.36,55.25,76394,565,50716,2274,48442
2015,NY,NEW YORK,13527856,6839238,6688618,9.32,15.54,19.07,0.36,55.71,77462,572,51727,2354,49373
2019,OH,OHIO,7616818,3789461,3827357,3.0,13.61,4.04,0.27,79.08,71356,936,50338,4266,46072
2018,OH,OHIO,7635190,3804895,3830295,2.89,13.49,3.89,0.27,79.46,71198,932,50431,4278,46153
2017,OH,OHIO,7652488,3818352,3834136,2.79,13.37,3.73,0.27,79.83,71811,938,51478,4426,47052
2016,OH,OHIO,7659690,3826212,3833478,2.67,13.26,3.59,0.27,80.21,72145,941,52175,4594,47581
2015,OH,OHIO,7667541,3836231,3831310,2.53,13.14,3.46,0.27,80.59,71144,927,52233,4430,47803
