state_name,death_year,age_range,death_count,state_abbr,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pct,black_pct,latinx_pct,native_pct,white_pct,total_incarceration,total_incarceration_rate,total_prison_pop,female_prison_pop,male_prison_pop
ARIZONA,2016,21-30,7,AZ,4356330,2151745,2204585,4.25,5.06,31.99,4.31,54.4,55474,1273,42320,3997,38323
ARIZONA,2016,31-40,8,AZ,4356330,2151745,2204585,4.25,5.06,31.99,4.31,54.4,55474,1273,42320,3997,38323
ARIZONA,2016,41-50,26,AZ,4356330,2151745,2204585,4.25,5.06,31.99,4.31,54.4,55474,1273,42320,3997,38323
ARIZONA,2016,51-60,30,AZ,4356330,2151745,2204585,4.25,5.06,31.99,4.31,54.4,55474,1273,42320,3997,38323
ARIZONA,2016,61-70,34,AZ,4356330,2151745,2204585,4.25,5.06,31.99,4.31,54.4,55474,1273,42320,3997,38323
ARIZONA,2016,≥ 71,20,AZ,4356330,2151745,2204585,4.25,5.06,31.99,4.31,54.4,55474,1273,42320,3997,38323
ARIZONA,2017,≤ 20,0,AZ,4395093,2167533,2227560,4.32,5.17,32.46,4.29,53.75,55206,1256,42030,4059,37971
ARIZONA,2017,21-30,8,AZ,4395093,2167533,2227560,4.32,5.17,32.46,4.29,53.75,55206,1256,42030,4059,37971
ARIZONA,2017,31-40,14,AZ,4395093,2167533,2227560,4.32,5.17,32.46,4.29,53.75,55206,1256,42030,4059,37971
ARIZONA,2017,41-50,23,AZ,4395093,2167533,2227560,4.32,5.17,32.46,4.29,53.75,55206,1256,42030,4059,37971
ARIZONA,2017,51-60,29,AZ,4395093,2167533,2227560,4.32,5.17,32.46,4.29,53.75,55206,1256,42030,4059,37971
ARIZONA,2017,61-70,31,AZ,4395093,2167533,2227560,4.32,5.17,32.46,4.29,53.75,55206,1256,42030,4059,37971
ARIZONA,2017,≥ 71,28,AZ,4395093,2167533,2227560,4.32,5.17,32.46,4.29,53.75,55206,1256,42030,4059,37971
ARIZONA,2018,≤ 20,0,AZ,4444103,2187807,2256296,4.36,5.29,32.87,4.27,53.21,55112,1240,42005,4185,37820
ARIZONA,2018,21-30,6,AZ,4444103,2187807,2256296,4.36,5.29,32.87,4.27,53.21,55112,1240,42005,4185,37820
ARIZONA,2018,31-40,21,AZ,4444103,2187807,2256296,4.36,5.29,32.87,4.27,53.21,55112,1240,42005,4185,37820
ARIZONA,2018,41-50,18,AZ,4444103,2187807,2256296,4.36,5.29,32.87,4.27,53.21,55112,1240,42005,4185,37820
ARIZONA,2018,51-60,36,AZ,4444103,2187807,2256296,4.36,5.29,32.87,4.27,53.21,55112,1240,42005,4185,37820
ARIZONA,2018,61-70,28,AZ,4444103,2187807,2256296,4.36,5.29,32.87,4.27,53.21,55112,1240,42005,4185,37820
ARIZONA,2018,≥ 71,22,AZ,4444103,2187807,2256296,4.36,5.29,32.87,4.27,53.21,55112,1240,42005,4185,37820
ARIZONA,2019,≤ 20,0,AZ,4500120,2212159,2287961,4.44,5.41,33.28,4.24,52.62,55643,1236,42441,4406,38035
ARIZONA,2019,21-30,8,AZ,4500120,2212159,2287961,4.44,5.41,33.28,4.24,52.62,55643,1236,42441,4406,38035
ARIZONA,2019,31-40,12,AZ,4500120,2212159,2287961,4.44,5.41,33.28,4.24,52.62,55643,1236,42441,4406,38035
ARIZONA,2019,41-50,16,AZ,4500120,2212159,2287961,4.44,5.41,33.28,4.24,52.62,55643,1236,42441,4406,38035
ARIZONA,2019,51-60,34,AZ,4500120,2212159,2287961,4.44,5.41,33.28,4.24,52.62,55643,1236,42441,4406,38035
ARIZONA,2019,61-70,25,AZ,4500120,2212159,2287961,4.44,5.41,33.28,4.24,52.62,55643,1236,42441,4406,38035
ARIZONA,2019,≥ 71,19,AZ,4500120,2212159,2287961,4.44,5.41,33.28,4.24,52.62,55643,1236,42441,4406,38035
ARKANSAS,2015,≤ 20,0,AR,1916182,959193,956989,2.07,16.46,7.07,0.87,73.53,24233,1264,17707,1402,16305
ARKANSAS,2015,21-30,1,AR,1916182,959193,956989,2.07,16.46,7.07,0.87,73.53,24233,1264,17707,1402,16305
ARKANSAS,2015,31-40,3,AR,1916182,959193,956989,2.07,16.46,7.07,0.87,73.53,24233,1264,17707,1402,16305
ARKANSAS,2015,41-50,3,AR,1916182,959193,956989,2.07,16.46,7.07,0.87,73.53,24233,1264,17707,1402,16305
ARKANSAS,2015,51-60,3,AR,1916182,959193,956989,2.07,16.46,7.07,0.87,73.53,24233,1264,17707,1402,16305
ARKANSAS,2015,61-70,3,AR,1916182,959193,956989,2.07,16.46,7.07,0.87,73.53,24233,1264,17707,1402,16305
ARKANSAS,2015,≥ 71,1,AR,1916182,959193,956989,2.07,16.46,7.07,0.87,73.53,24233,1264,17707,1402,16305
ARKANSAS,2016,≤ 20,0,AR,1918010,958743,959267,2.17,16.52,7.27,0.88,73.16,24468,1275,17537,1376,16161
ARKANSAS,2016,21-30,4,AR,1918010,958743,959267,2.17,16.52,7.27,0.88,73.16,24468,1275,17537,1376,16161
ARKANSAS,2016,31-40,8,AR,1918010,958743,959267,2.17,16.52,7.27,0.88,73.16,24468,1275,17537,1376,16161
