year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pop_15to64,black_pop_15to64,latinx_pop_15to64,native_pop_15to64,white_pop_15to64,aapi_female_pop_15to64,black_female_pop_15to64,latinx_female_pop_15to64,native_female_pop_15to64,white_female_pop_15to64,aapi_male_pop_15to64,black_male_pop_15to64,latinx_male_pop_15to64,native_male_pop_15to64,white_male_pop_15to64,total_incarceration,total_incarceration_rate,held_in_jail,total_jail_pop,female_jail_pop,male_jail_pop,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,total_prison_pop,female_prison_pop,male_prison_pop,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate
2020,MN,Minnesota,27,Midwest,West North Central,3683277.0,1802120.0,1881157.0,220141.0,284006.0,213115.0,44209.0,2921806.0,111707.0,136498.0,100136.0,22083.0,1431696.0,108434.0,147508.0,112979.0,22126.0,1490110.0,11264.902645659946,305.83913850790873,645.0,3761.9026456599463,413.4761173816127,3623.7070272059927,102.13466556167091,22.94387262677362,192.63182324526835,8148.0,465.0,7683.0,221.21605298759772,25.80294320023084,408.4188613709542
2019,MN,Minnesota,27,Midwest,West North Central,3685041.0,1804791.0,1880250.0,216272.0,274654.0,207173.0,43959.0,2942983.0,109855.0,132122.0,97409.0,21999.0,1443406.0,106417.0,142532.0,109764.0,21960.0,1499577.0,16062.0,435.8703200317174,894.0,6974.0,1006.0,5757.0,189.2516256942596,55.7405261883509,306.1826884722776,9982.0,665.0,9317.0,270.878940017221,36.84637168514249,495.5192128706289
2018,MN,Minnesota,27,Midwest,West North Central,3676284.0,1803017.0,1873267.0,210813.0,263079.0,200928.0,43884.0,2957580.0,107160.0,126677.0,94407.0,22010.0,1452763.0,103653.0,136402.0,106521.0,21874.0,1504817.0,16474.67,448.1337676849775,804.0,7177.67,1063.05,5966.45,195.24253294903224,58.95951064243987,318.50505026779416,10101.0,699.0,9402.0,274.76114467761465,38.76835326566527,501.90389303820547
2017,MN,Minnesota,27,Midwest,West North Central,3664036.0,1799920.0,1864116.0,204756.0,252372.0,193885.0,43735.0,2969288.0,104244.0,121712.0,90936.0,21974.0,1461054.0,100512.0,130660.0,102949.0,21761.0,1508234.0,16871.83,460.4711853267818,1007.0,7170.83,991.23,6088.77,195.7085028640548,55.0707809235966,326.6304242869006,10708.0,734.0,9974.0,292.2460368839171,40.779590204009075,535.0525396488201
2016,MN,Minnesota,27,Midwest,West North Central,3650408.0,1795774.0,1854634.0,198519.0,241345.0,187128.0,43567.0,2979849.0,101155.0,116619.0,87783.0,21926.0,1468291.0,97364.0,124726.0,99345.0,21641.0,1511558.0,16723.67,458.13152940712376,1023.0,7154.67,935.71,5763.46,195.99644752038677,52.106222720676435,310.75996665649393,10592.0,774.0,9818.0,290.1593465716709,43.10119202082222,529.3766856425581
2015,MN,Minnesota,27,Midwest,West North Central,3636880.0,1791951.0,1844929.0,191057.0,230539.0,181225.0,43509.0,2990550.0,97634.0,111369.0,84952.0,21919.0,1476077.0,93423.0,119170.0,96273.0,21590.0,1514473.0,16733.33,460.1012406238314,1211.0,7146.33,928.49,5783.34,196.49617254349883,51.81447483776062,313.4722257604493,10798.0,771.0,10027.0,296.9028397967489,43.0257300562348,543.4897494700338
2022,MO,Missouri,29,Midwest,West North Central,3942780.0,1960944.0,1981836.0,116860.0,492214.0,194435.0,22962.0,3116309.0,60349.0,254859.0,92545.0,11400.0,1541792.0,56511.0,237355.0,101890.0,11564.0,1574517.0,35223.537721630026,893.3680733297324,0.0,11312.537721630028,1494.3364927666898,9157.710402606122,286.9178022012394,76.20495499956603,462.0821502185914,23911.0,2187.0,21724.0,606.4502711284931,111.52791716642596,1096.1552822736087
2021,MO,Missouri,29,Midwest,West North Central,3954077.0,1966643.0,1987434.0,114293.0,495842.0,187133.0,22926.0,3133883.0,58977.0,256927.0,88953.0,11339.0,1550448.0,55316.0,238915.0,98180.0,11589.0,1583435.0,34527.73198004905,873.2185028275638,0.0,11105.731980049051,1410.639403575644,9242.713559141741,280.86787333805216,71.72829047140962,465.0576350782839,23422.0,2052.0,21370.0,592.3506294895117,104.34023867066875,1075.2558323949374
2020,MO,Missouri,29,Midwest,West North Central,3952834.0,1966701.0,1986133.0,112142.0,496587.0,180315.0,22812.0,3140978.0,57921.0,257408.0,85481.0,11306.0,1554585.0,54221.0,239179.0,94834.0,11507.0,1586393.0,32599.220764315167,824.7050284508574,0.0,9537.220764315167,1119.451480486061,8140.447405992293,241.2755193948232,56.92026802681551,409.864163477083,23062.0,1895.0,21167.0,583.4295090560342,96.35425008682053,1065.7393034605436
2019,MO,Missouri,29,Midwest,West North Central,3964191.0,1972659.0,1991532.0,109885.0,499314.0,175041.0,22850.0,3157101.0,56886.0,258110.0,82753.0,11355.0,1563556.0,52999.0,241204.0,92288.0,11497.0,1593545.0,38403.0,968.7474695341368,0.0,12359.0,1628.0,9351.0,311.76600723829904,82.52820178246722,469.53802399358887,26044.0,2401.0,23643.0,656.9814622958379,121.7138897295478,1187.17650532354
2018,MO,Missouri,29,Midwest,West North Central,3972102.0,1977961.0,1994141.0,106438.0,499778.0,169854.0,22855.0,3173177.0,55166.0,258300.0,80350.0,11382.0,1572764.0,51272.0,241478.0,89504.0,11475.0,1600413.0,43085.66,1084.7067874893444,0.0,12716.66,1956.84,10430.02,320.14938186380914,98.93218319269187,523.0332258350838,30369.0,3114.0,27255.0,764.5574056255354,157.43485336667408,1366.7539055663567
2017,MO,Missouri,29,Midwest,West North Central,3977824.0,1983319.0,1994505.0,103620.0,499048.0,164673.0,22808.0,3187675.0,53819.0,258371.0,77792.0,11338.0,1582000.0,49801.0,240677.0,86881.0,11472.0,1605675.0,45448.51,1142.5470307384137,0.0,12847.51,1953.93,10845.98,322.97834192764685,98.5181909718003,543.7930714638469,32601.0,3396.0,29205.0,819.5686888107668,171.22812820327945,1464.2730903156423
2016,MO,Missouri,29,Midwest,West North Central,3979372.0,1986615.0,1992757.0,99767.0,497950.0,159540.0,22761.0,3199354.0,51869.0,258117.0,75254.0,11391.0,1589985.0,47898.0,239833.0,84286.0,11372.0,1609369.0,44892.78,1128.1373040771257,0.0,12431.78,1808.17,10422.46,312.4055755531275,91.01763552575612,523.0171064510123,32461.0,3337.0,29124.0,815.7317285239983,167.97416711340648,1461.4927961612982
2015,MO,Missouri,29,Midwest,West North Central,3982488.0,1991332.0,1991156.0,97454.0,496175.0,154981.0,22723.0,3211155.0,50735.0,257790.0,73041.0,11387.0,1598380.0,46719.0,238385.0,81940.0,11338.0,1612775.0,44049.905,1106.0900874026488,0.0,11719.905,1763.04,9832.27,294.28600914805014,88.53571378353786,493.7970706463984,32330.0,3267.0,29063.0,811.8040782545986,164.0610405497426,1459.604370526468
2022,MS,Mississippi,28,South,East South Central,1880033.0,954377.0,925656.0,26401.0,735693.0,67365.0,10356.0,1040218.0,13990.0,389356.0,29178.0,5397.0,516456.0,12411.0,346337.0,38187.0,4959.0,523762.0,26272.10603846419,1397.427919534614,6510.0,12980.106038464191,1005.9160114092708,11416.721065366668,690.419053200885,105.40027802527416,1233.3654257485143,19802.0,1594.0,18208.0,1053.2793839257076,167.0199512352037,1967.0374307518127
2021,MS,Mississippi,28,South,East South Central,1890638.0,958964.0,931674.0,25894.0,740427.0,65293.0,10329.0,1048695.0,13674.0,391644.0,28141.0,5387.0,520118.0,12220.0,348783.0,37152.0,4942.0,528577.0,24367.776514262056,1288.8652673997908,5818.0,12853.776514262056,820.77799992876,11865.64011220384,679.8644962315396,85.59007428107414,1273.5828317849207,17332.0,1216.0,16116.0,916.7275808483696,126.8035087865655,1729.7896045183186
2020,MS,Mississippi,28,South,East South Central,1898755.0,962877.0,935878.0,25503.0,743755.0,63627.0,10313.0,1055557.0,13516.0,393518.0,27189.0,5384.0,523270.0,11987.0,350237.0,36438.0,4929.0,532287.0,23728.205294992797,1249.671774135831,5838.0,11989.205294992798,746.4856651798048,11115.018422988598,631.424554247009,77.52658596890412,1187.656769684574,17577.0,1189.0,16388.0,925.7118480267333,123.4841002537188,1751.0829402977738
2019,MS,Mississippi,28,South,East South Central,1914029.0,969985.0,944044.0,25309.0,749054.0,63365.0,10278.0,1066023.0,13453.0,396287.0,26647.0,5377.0,528221.0,11856.0,352767.0,36718.0,4901.0,537802.0,27649.0,1444.544466149677,5442.0,13674.0,980.53,12764.47,714.4092383135261,101.08713021335382,1352.1054103410434,19417.0,1383.0,18034.0,1014.4569387402177,142.57952442563544,1910.292316883535
2018,MS,Mississippi,28,South,East South Central,1925425.0,976342.0,949083.0,25035.0,753166.0,62535.0,10111.0,1074578.0,13298.0,398787.0,26065.0,5306.0,532886.0,11737.0,354379.0,36470.0,4805.0,541692.0,25930.71,1346.7525351545762,5545.0,12200.71,1179.1433333333334,10735.404285714283,633.6632172117844,120.77154658237929,1131.1343987527207,19275.0,1389.0,17886.0,1001.0776841476558,142.26572246200615,1884.5559345178451
2017,MS,Mississippi,28,South,East South Central,1940031.0,984822.0,955209.0,24655.0,757212.0,61285.0,10094.0,1086785.0,13098.0,401293.0,25473.0,5278.0,539680.0,11557.0,355919.0,35812.0,4816.0,547105.0,26700.43,1376.2888324980374,5133.0,12730.43,1286.4166666666667,11367.178571428572,656.1972463326617,130.62428201915338,1190.0200449774416,19103.0,1415.0,17688.0,984.6749871522672,143.68078698485616,1851.741346658166
2016,MS,Mississippi,28,South,East South Central,1946443.0,989523.0,956920.0,24391.0,757601.0,59476.0,9981.0,1094994.0,12954.0,402030.0,24699.0,5258.0,544582.0,11437.0,355571.0,34777.0,4723.0,550412.0,26264.145,1349.340566356169,5040.0,12112.145,1285.51,10863.132857142857,622.270726653696,129.91208895599192,1135.218498635503,19192.0,1369.0,17823.0,986.0037000826637,138.34948758139024,1862.5381432094637
2015,MS,Mississippi,28,South,East South Central,1952216.0,993339.0,958877.0,24417.0,756805.0,58733.0,9952.0,1102309.0,12925.0,402276.0,24196.0,5245.0,548697.0,11492.0,354529.0,34537.0,4707.0,553612.0,26044.36,1334.0921291496434,4933.0,12066.36,1180.46,10939.897142857142,618.0852938404357,118.83757710107022,1140.9072428327245,18911.0,1316.0,17595.0,968.6940379548165,132.4824657040547,1834.9590197700015
2022,MT,Montana,30,West,Mountain,706013.0,342477.0,363536.0,10456.0,7005.0,32735.0,45694.0,610191.0,6083.0,2747.0,15670.0,22762.0,295250.0,4395.0,4258.0,17065.0,22934.0,314941.0,7438.156323846785,1053.5438191431017,308.0,3055.156323846786,394.3665317335055,2490.4987469183634,432.73372074548007,115.15124569927488,685.0762364438084,4691.0,665.0,4026.0,664.435357422597,194.1736233382096,1107.4556577615422
2021,MT,Montana,30,West,Mountain,696176.0,337835.0,358341.0,9625.0,6750.0,30974.0,45309.0,603586.0,5550.0,2616.0,14898.0,22618.0,292189.0,4098.0,4135.0,16076.0,22691.0,311397.0,6321.732802456547,908.0653171693,330.0,2338.7328024565463,457.3127829865806,2202.9582616612065,335.9398776252767,135.3657208360829,614.7658966351064,4313.0,611.0,3702.0,619.5272459837743,180.8575192031613,1033.0941756594975
