Year,State,Deaths
2022,MASSACHUSETTS,64
2022,MICHIGAN,171
2022,MINNESOTA,39
2022,MISSISSIPPI,43
2022,MISSOURI,179
2022,MONTANA,27
2022,NEBRASKA,49
2022,NEVADA,72
2022,NEW HAMPSHIRE,22
2022,NEW JERSEY,74
2022,NEW MEXICO,21
2022,NEW YORK,157
2022,NORTH CAROLINA,198
2022,NORTH DAKOTA,3
2022,OHIO,253
2022,OKLAHOMA,226
2022,OREGON,65
2022,PENNSYLVANIA,270
2022,RHODE ISLAND,4
2022,SOUTH CAROLINA,180
2022,SOUTH DAKOTA,12
2022,TENNESSEE,225
2022,TEXAS,877
2022,UTAH,15
2022,VERMONT,8
2022,WASHINGTON,9
2022,WEST VIRGINIA,59
2022,WISCONSIN,77
2022,WYOMING,25
