state_name,death_year,age_range,death_count
HAWAII,2018,61-70,2
HAWAII,2018,≥ 71,0
HAWAII,2019,≤ 20,0
HAWAII,2019,21-30,0
HAWAII,2019,31-40,0
HAWAII,2019,41-50,2
HAWAII,2019,51-60,1
HAWAII,2019,61-70,3
HAWAII,2019,≥ 71,3
IDAHO,2015,≤ 20,0
IDAHO,2015,21-30,0
IDAHO,2015,31-40,0
IDAHO,2015,41-50,1
IDAHO,2015,51-60,3
IDAHO,2015,61-70,0
IDAHO,2015,≥ 71,0
IDAHO,2016,≤ 20,0
IDAHO,2016,21-30,1
IDAHO,2016,31-40,1
IDAHO,2016,41-50,1
IDAHO,2016,51-60,4
IDAHO,2016,61-70,3
IDAHO,2016,≥ 71,6
IDAHO,2017,≤ 20,0
IDAHO,2017,21-30,1
IDAHO,2017,31-40,2
IDAHO,2017,41-50,0
IDAHO,2017,51-60,5
IDAHO,2017,61-70,3
IDAHO,2017,≥ 71,4
IDAHO,2018,≤ 20,0
IDAHO,2018,21-30,2
IDAHO,2018,31-40,1
IDAHO,2018,41-50,2
IDAHO,2018,51-60,6
IDAHO,2018,61-70,7
IDAHO,2018,≥ 71,4
IDAHO,2019,≤ 20,0
IDAHO,2019,21-30,2
IDAHO,2019,31-40,3
IDAHO,2019,41-50,0
IDAHO,2019,51-60,5
IDAHO,2019,61-70,10
IDAHO,2019,≥ 71,5
ILLINOIS,2015,≤ 20,0
ILLINOIS,2015,21-30,2
ILLINOIS,2015,31-40,2
ILLINOIS,2015,41-50,4
ILLINOIS,2015,51-60,11
ILLINOIS,2015,61-70,7
ILLINOIS,2015,≥ 71,3
ILLINOIS,2016,≤ 20,1
ILLINOIS,2016,21-30,3
ILLINOIS,2016,31-40,9
ILLINOIS,2016,41-50,19
ILLINOIS,2016,51-60,25
ILLINOIS,2016,61-70,19
ILLINOIS,2016,≥ 71,14
ILLINOIS,2017,≤ 20,0
ILLINOIS,2017,21-30,7
ILLINOIS,2017,31-40,2
ILLINOIS,2017,41-50,9
ILLINOIS,2017,51-60,32
ILLINOIS,2017,61-70,37
ILLINOIS,2017,≥ 71,17
ILLINOIS,2018,≤ 20,0
ILLINOIS,2018,21-30,4
ILLINOIS,2018,31-40,10
ILLINOIS,2018,41-50,12
ILLINOIS,2018,51-60,23
ILLINOIS,2018,61-70,21
ILLINOIS,2018,≥ 71,13
ILLINOIS,2019,≤ 20,0
ILLINOIS,2019,21-30,3
ILLINOIS,2019,31-40,7
ILLINOIS,2019,41-50,16
ILLINOIS,2019,51-60,23
ILLINOIS,2019,61-70,28
ILLINOIS,2019,≥ 71,17
INDIANA,2015,≤ 20,0
INDIANA,2015,21-30,0
INDIANA,2015,31-40,4
INDIANA,2015,41-50,3
INDIANA,2015,51-60,6
INDIANA,2015,61-70,6
INDIANA,2015,≥ 71,4
INDIANA,2016,≤ 20,0
INDIANA,2016,21-30,4
INDIANA,2016,31-40,9
INDIANA,2016,41-50,12
INDIANA,2016,51-60,17
INDIANA,2016,61-70,16
INDIANA,2016,≥ 71,12
INDIANA,2017,≤ 20,0
INDIANA,2017,21-30,2
INDIANA,2017,31-40,3
INDIANA,2017,41-50,15
INDIANA,2017,51-60,16
INDIANA,2017,61-70,18
INDIANA,2017,≥ 71,14
INDIANA,2018,≤ 20,0
INDIANA,2018,21-30,3
INDIANA,2018,31-40,2
INDIANA,2018,41-50,15
INDIANA,2018,51-60,18
INDIANA,2018,61-70,19
INDIANA,2018,≥ 71,10
INDIANA,2019,≤ 20,0
INDIANA,2019,21-30,9
INDIANA,2019,31-40,12
INDIANA,2019,41-50,16
INDIANA,2019,51-60,23
INDIANA,2019,61-70,21
INDIANA,2019,≥ 71,12
IOWA,2015,≤ 20,0
IOWA,2015,21-30,0
IOWA,2015,31-40,0
IOWA,2015,41-50,1
IOWA,2015,51-60,1
IOWA,2015,61-70,2
IOWA,2015,≥ 71,2
IOWA,2016,≤ 20,0
IOWA,2016,21-30,2
IOWA,2016,31-40,1
IOWA,2016,41-50,6
IOWA,2016,51-60,5
IOWA,2016,61-70,9
IOWA,2016,≥ 71,6
IOWA,2017,≤ 20,0
IOWA,2017,21-30,1
IOWA,2017,31-40,1
IOWA,2017,41-50,1
IOWA,2017,51-60,3
IOWA,2017,61-70,3
IOWA,2017,≥ 71,7
IOWA,2018,≤ 20,0
IOWA,2018,21-30,2
IOWA,2018,31-40,1
IOWA,2018,41-50,0
IOWA,2018,51-60,4
IOWA,2018,61-70,8
IOWA,2018,≥ 71,4
IOWA,2019,≤ 20,0
IOWA,2019,21-30,2
IOWA,2019,31-40,0
IOWA,2019,41-50,0
IOWA,2019,51-60,5
IOWA,2019,61-70,5
IOWA,2019,≥ 71,4
KANSAS,2015,≤ 20,0
KANSAS,2015,21-30,0
KANSAS,2015,31-40,1
KANSAS,2015,41-50,0
KANSAS,2015,51-60,2
KANSAS,2015,61-70,1
KANSAS,2015,≥ 71,1
KANSAS,2016,≤ 20,1
KANSAS,2016,21-30,1
KANSAS,2016,31-40,3
KANSAS,2016,41-50,7
KANSAS,2016,51-60,10
KANSAS,2016,61-70,9
KANSAS,2016,≥ 71,4
KANSAS,2017,≤ 20,0
KANSAS,2017,21-30,1
KANSAS,2017,31-40,3
KANSAS,2017,41-50,3
KANSAS,2017,51-60,8
KANSAS,2017,61-70,7
KANSAS,2017,≥ 71,4
KANSAS,2018,≤ 20,0
KANSAS,2018,21-30,1
KANSAS,2018,31-40,2
KANSAS,2018,41-50,1
KANSAS,2018,51-60,10
KANSAS,2018,61-70,9
KANSAS,2018,≥ 71,10
KANSAS,2019,≤ 20,0
KANSAS,2019,21-30,3
KANSAS,2019,31-40,3
KANSAS,2019,41-50,7
KANSAS,2019,51-60,7
KANSAS,2019,61-70,10
KANSAS,2019,≥ 71,5
KENTUCKY,2015,≤ 20,0
KENTUCKY,2015,21-30,0
KENTUCKY,2015,31-40,2
KENTUCKY,2015,41-50,1
KENTUCKY,2015,51-60,4
KENTUCKY,2015,61-70,4
KENTUCKY,2015,≥ 71,2
KENTUCKY,2016,≤ 20,0
KENTUCKY,2016,21-30,6
KENTUCKY,2016,31-40,2
KENTUCKY,2016,41-50,5
KENTUCKY,2016,51-60,13
KENTUCKY,2016,61-70,8
KENTUCKY,2016,≥ 71,8
KENTUCKY,2017,≤ 20,0
KENTUCKY,2017,21-30,2
KENTUCKY,2017,31-40,4
KENTUCKY,2017,41-50,7
KENTUCKY,2017,51-60,29
KENTUCKY,2017,61-70,17
KENTUCKY,2017,≥ 71,11
KENTUCKY,2018,≤ 20,0
KENTUCKY,2018,21-30,2
KENTUCKY,2018,31-40,2
KENTUCKY,2018,41-50,7
KENTUCKY,2018,51-60,12
KENTUCKY,2018,61-70,14
KENTUCKY,2018,≥ 71,13
KENTUCKY,2019,≤ 20,0
KENTUCKY,2019,21-30,2
KENTUCKY,2019,31-40,6
KENTUCKY,2019,41-50,7
KENTUCKY,2019,51-60,11
KENTUCKY,2019,61-70,25
KENTUCKY,2019,≥ 71,12
LOUISIANA,2015,≤ 20,0
LOUISIANA,2015,21-30,1
LOUISIANA,2015,31-40,1
LOUISIANA,2015,41-50,4
LOUISIANA,2015,51-60,14
LOUISIANA,2015,61-70,6
LOUISIANA,2015,≥ 71,10
LOUISIANA,2016,≤ 20,0
LOUISIANA,2016,21-30,5
LOUISIANA,2016,31-40,11
LOUISIANA,2016,41-50,12
LOUISIANA,2016,51-60,48
LOUISIANA,2016,61-70,35
LOUISIANA,2016,≥ 71,17
LOUISIANA,2017,≤ 20,0
LOUISIANA,2017,21-30,0
LOUISIANA,2017,31-40,16
