year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pop_15to64,aapi_pct,black_pop_15to64,black_pct,latinx_pop_15to64,latinx_pct,native_pop_15to64,native_pct,white_pop_15to64,white_pct,aapi_female_pop_15to64,black_female_pop_15to64,latinx_female_pop_15to64,native_female_pop_15to64,white_female_pop_15to64,aapi_male_pop_15to64,black_male_pop_15to64,latinx_male_pop_15to64,native_male_pop_15to64,white_male_pop_15to64,total_incarceration,total_incarceration_rate,held_in_jail,total_jail_pop,female_jail_pop,male_jail_pop,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,total_prison_pop,female_prison_pop,female_total,male_prison_pop,male_total,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,deaths
2020,IA,Iowa,19,Midwest,West North Central,2023336,987091,1036245,68937,3.41,95353,4.71,133600,6.6,7359,0.36,1718087,84.91,33692,43293,62583,3745,843778,35245,52060,71017,3614,874309,11851,585,67,3611,414,3244,178,41,313,8307,691,1105,7616,10860,410,70,734,24
2019,IA,Iowa,19,Midwest,West North Central,2027437,990123,1037314,68012,3.35,92918,4.58,129174,6.37,7315,0.36,1730018,85.33,33174,42197,60525,3731,850496,34838,50721,68649,3584,879522,14412,710,0,5130,776,4242,253,78,408,9282,839,1615,8443,12685,457,84,813,16
2018,IA,Iowa,19,Midwest,West North Central,2026907,991575,1035332,65649,3.24,89313,4.41,124491,6.14,7221,0.36,1740233,85.86,32057,40644,58319,3678,856877,33592,48669,66172,3543,883356,14325,706,0,4906,731,4175,242,73,403,9419,837,1568,8582,12757,464,84,828,19
2017,IA,Iowa,19,Midwest,West North Central,2029809,994161,1035648,64363,3.17,86262,4.25,120394,5.93,7161,0.35,1751629,86.3,31518,39265,56308,3665,863405,32845,46997,64086,3496,888224,13748,677,0,4724,663,4010,232,66,387,9024,806,1469,8218,12228,444,81,793,16
2016,IA,Iowa,19,Midwest,West North Central,2030023,995435,1034588,61832,3.05,82454,4.06,116537,5.74,7135,0.35,1762065,86.8,30241,37377,54479,3654,869684,31591,45077,62058,3481,892381,13480,664,0,4449,645,3747,219,64,362,9031,821,1466,8210,11957,444,82,793,29
2015,IA,Iowa,19,Midwest,West North Central,2029629,996258,1033371,59378,2.93,78997,3.89,112428,5.54,7081,0.35,1771745,87.29,29063,35873,52414,3623,875285,30315,43124,60014,3458,896460,13302,655,0,4453,610,3719,219,61,359,8849,808,1418,8041,11760,435,81,778,6
2022,ID,Idaho,16,West,Mountain,1230563,603961,626602,27122,2.2,14721,1.2,172011,13.98,15354,1.25,1001355,81.37,14736,6125,82317,7581,493202,12386,8596,89694,7773,508153,12439,1010,740,4069,968,3142,330,160,501,9110,1296,2264,7814,10956,740,214,1247,31
2021,ID,Idaho,16,West,Mountain,1208884,594317,614567,26197,2.17,14120,1.17,165098,13.66,15291,1.26,988178,81.74,14285,5865,78994,7541,487632,11912,8255,86104,7750,500546,12078,999,509,3680,805,2931,304,135,476,8907,1239,2044,7668,10599,736,208,1247,48
2020,ID,Idaho,16,West,Mountain,1173077,577433,595644,25099,2.14,13385,1.14,156868,13.37,15073,1.28,962652,82.06,13750,5531,75059,7476,475617,11349,7854,81809,7597,487035,10879,927,682,3205,672,2424,273,116,407,8356,1086,1758,7270,9694,712,188,1220,44
2019,ID,Idaho,16,West,Mountain,1148500,565900,582600,24405,2.12,12609,1.1,150719,13.12,14716,1.28,946051,82.37,13397,5120,71957,7341,468085,11008,7489,78762,7375,477966,12697,1105,1015,4275,889,3316,372,157,569,9437,1320,2209,8117,11433,821,233,1393,25
2018,ID,Idaho,16,West,Mountain,1124136,554308,569828,23607,2.1,12048,1.07,144350,12.84,14561,1.3,929570,82.69,12959,4884,68832,7247,460386,10648,7164,75518,7314,469184,12391,1102,595,4322,961,3326,384,173,583,8664,1140,2101,7524,10850,770,205,1320,22
2017,ID,Idaho,16,West,Mountain,1103498,544553,558945,23044,2.09,11464,1.04,138918,12.59,14458,1.31,915614,82.97,12675,4631,66094,7205,453948,10369,6833,72824,7253,461666,11944,1082,680,4045,886,3257,366,162,582,8579,1045,1931,7534,10791,777,191,1347,15
2016,ID,Idaho,16,West,Mountain,1081631,534064,547567,22029,2.04,10809,1.0,133464,12.34,14325,1.32,901004,83.3,12066,4344,63378,7147,447129,9963,6465,70086,7178,453875,11267,1041,791,3806,814,2984,351,152,544,8252,1013,1827,7239,10223,762,189,1322,16
2015,ID,Idaho,16,West,Mountain,1061229,524409,536820,20588,1.94,10012,0.94,127791,12.04,14095,1.33,888743,83.75,11178,4034,60520,7069,441608,9410,5978,67271,7026,447135,10960,1032,814,3722,798,2825,350,152,526,8052,984,1782,7068,9893,758,187,1316,4
2022,IL,Illinois,17,Midwest,East North Central,8200674,4063914,4136760,556387,6.78,1216283,14.83,1587111,19.35,17395,0.21,4823498,58.82,283727,635221,763376,8825,2372766,272660,581062,823735,8571,2450732,44972,548,0,15338,1453,13620,187,35,329,29634,1471,2924,28163,41783,361,36,680,131
2021,IL,Illinois,17,Midwest,East North Central,8300119,4112733,4187386,550659,6.63,1231847,14.84,1570416,18.92,17494,0.21,4929703,59.39,280834,643301,754271,8921,2425407,269825,588546,816145,8574,2504296,44717,538,0,15737,1361,14315,189,33,341,28980,1310,2671,27670,41985,349,31,660,234
2020,IL,Illinois,17,Midwest,East North Central,8390732,4159613,4231119,549554,6.55,1243807,14.82,1553121,18.51,17699,0.21,5026551,59.91,280482,650405,745434,9065,2474227,269072,593402,807687,8634,2552324,42912,511,0,13183,1054,11846,157,25,279,29729,1418,2472,28311,40157,354,34,669,101
2019,IL,Illinois,17,Midwest,East North Central,8464548,4201747,4262801,548541,6.48,1251354,14.78,1533929,18.12,17785,0.21,5112939,60.4,280587,655557,736036,9120,2520447,267954,595797,797893,8665,2592492,54721,646,0,16462,1809,14735,194,43,345,38259,2264,4073,35995,50730,451,53,844,94
2018,IL,Illinois,17,Midwest,East North Central,8521827,4236162,4285665,543986,6.38,1258049,14.76,1513886,17.76,17821,0.21,5188085,60.88,278889,660340,726172,9119,2561642,265097,597709,787714,8702,2626443,57185,671,0,17220,1743,14938,202,41,348,39965,2338,4081,37627,52565,468,55,877,83
2017,IL,Illinois,17,Midwest,East North Central,8577540,4269544,4307996,536251,6.25,1265758,14.76,1493361,17.41,17979,0.21,5264191,61.37,275562,665163,716214,9214,2603391,260689,600595,777147,8765,2660800,60044,700,0,18617,1896,16239,217,44,376,41427,2279,4175,39148,55387,482,53,908,104
2016,IL,Illinois,17,Midwest,East North Central,8621099,4297562,4323537,525289,6.09,1273777,14.78,1472175,17.08,18109,0.21,5331749,61.85,270477,670589,706012,9300,2641184,254812,603188,766163,8809,2690565,61902,718,216,18461,1777,15803,214,41,365,43657,2613,4390,41044,56847,506,60,949,90
2015,IL,Illinois,17,Midwest,East North Central,8661543,4324515,4337028,516408,5.96,1280652,14.79,1451196,16.75,18164,0.21,5395123,62.29,266362,675648,695867,9316,2677322,250046,605004,755329,8848,2717801,65026,750,0,18786,1753,16239,216,40,374,46240,2675,4428,43565,59804,533,61,1004,29
2022,IN,Indiana,18,Midwest,East North Central,4388557,2170401,2218156,146280,3.33,476284,10.85,355785,8.11,12957,0.3,3397251,77.41,71471,242587,169709,6659,1679975,74809,233697,186076,6298,1717276,44240,1008,1017,19971,3406,15571,455,156,701,25286,2530,5936,22756,38327,576,116,1025,175
2021,IN,Indiana,18,Midwest,East North Central,4391801,2172270,2219531,141005,3.21,470843,10.72,342433,7.8,12987,0.3,3424533,77.98,69133,240221,162903,6660,1693353,71872,230622,179530,6327,1731180,41037,934,1580,17645,3093,15099,401,142,680,24972,2620,5713,22352,37451,568,120,1007,185
2020,IN,Indiana,18,Midwest,East North Central,4384218,2169655,2214563,136645,3.12,464142,10.59,330415,7.54,12993,0.3,3440023,78.46,66979,237322,156987,6674,1701693,69666,226820,173428,6319,1738330,39121,892,1361,14431,2547,12357,329,117,558,26051,2634,5181,23417,35774,594,121,1057,164
2019,IN,Indiana,18,Midwest,East North Central,4383919,2172095,2211824,133394,3.04,458567,10.46,319661,7.29,13041,0.3,3459256,78.91,65293,234919,151837,6649,1713397,68101,223648,167824,6392,1745859,47497,1083,316,20633,3999,16446,470,184,743,27180,2604,6603,24576,41022,619,119,1111,93
2018,IN,Indiana,18,Midwest,East North Central,4377031,2171709,2205322,128420,2.93,452059,10.33,308003,7.04,13063,0.3,3475486,79.4,63006,232287,146094,6659,1723663,65414,219772,161909,6404,1751823,46936,1072,315,20374,3796,16763,465,174,760,26877,2567,6363,24310,41073,614,118,1102,67
2017,IN,Indiana,18,Midwest,East North Central,4366806,2169709,2197097,121111,2.77,444549,10.18,296808,6.8,12906,0.3,3491432,79.95,59655,228872,140543,6573,1734066,61456,215677,156265,6333,1757366,45367,1038,251,19594,3678,16201,448,169,737,26024,2416,6094,23608,39809,595,111,1074,68
2016,IN,Indiana,18,Midwest,East North Central,4365809,2171275,2194534,116829,2.68,438837,10.05,287377,6.58,12923,0.3,3509843,80.39,57818,226195,135764,6579,1744919,59011,212642,151613,6344,1764924,43127,987,403,17984,3129,14801,411,144,674,25546,2205,5334,23341,38142,585,101,1063,70
2015,IN,Indiana,18,Midwest,East North Central,4359752,2170547,2189205,109928,2.52,433115,9.93,278032,6.38,12883,0.3,3525794,80.87,54753,223176,131018,6571,1755029,55175,209939,147014,6312,1770765,43189,990,596,16430,2793,13878,376,128,633,27355,2540,5333,24815,38693,627,117,1133,23
2022,KS,Kansas,20,Midwest,West North Central,1865640,909812,955828,73385,3.93,128993,6.91,251096,13.46,20149,1.08,1392017,74.61,37236,59337,119147,10116,683976,36152,69656,131949,10034,708041,15906,852,16,7213,1091,5891,386,119,616,8709,735,1826,7974,13865,466,80,834,31
2021,KS,Kansas,20,Midwest,West North Central,1872507,913124,959383,73257,3.91,129202,6.9,244864,13.08,20263,1.08,1404921,75.03,37140,59395,115972,10127,690491,36120,69807,128892,10137,714430,15092,806,6,6577,872,5381,351,95,560,8521,728,1600,7793,13174,455,79,812,55
2020,KS,Kansas,20,Midwest,West North Central,1876059,915305,960754,73014,3.89,128584,6.85,238878,12.73,20220,1.08,1415363,75.44,37052,59246,112938,10119,695951,35965,69338,125940,10102,719412,14566,776,65,5852,775,5003,311,84,520,8779,760,1535,8019,13022,467,83,834,20
2019,KS,Kansas,20,Midwest,West North Central,1880114,918532,961582,72856,3.88,128081,6.81,233508,12.42,20129,1.07,1425540,75.82,37120,59255,110433,10126,701599,35742,68826,123075,10004,723941,17290,919,208,7321,1217,6005,389,132,624,10177,910,2127,9267,15272,541,99,963,35
2018,KS,Kansas,20,Midwest,West North Central,1886845,922547,964298,72395,3.84,128016,6.78,228234,12.1,20067,1.06,1438133,76.22,36903,59382,107703,10129,708431,35498,68634,120531,9939,729702,18166,962,91,8039,1239,6712,426,134,696,10218,929,2168,9289,16001,541,100,963,33
2017,KS,Kansas,20,Midwest,West North Central,1889527,924810,964717,70760,3.74,127454,6.75,222470,11.77,20152,1.07,1448691,76.67,36152,59181,104996,10148,714334,34614,68273,117474,10005,734357,17626,932,97,7708,1174,6621,407,127,686,10015,903,2077,9112,15733,530,97,944,26
2016,KS,Kansas,20,Midwest,West North Central,1896384,929293,967091,70099,3.7,127484,6.72,217555,11.47,20213,1.07,1461033,77.04,35804,59288,102520,10169,721513,34301,68196,115035,10045,739520,17303,912,78,7461,1144,6310,393,123,652,9920,869,2013,9051,15361,523,93,935,35
2015,KS,Kansas,20,Midwest,West North Central,1898996,931767,967229,67313,3.54,127358,6.71,212183,11.17,20210,1.06,1471932,77.51,34451,59338,99992,10170,727817,32868,68020,112191,10041,744115,17081,899,78,7302,1075,5935,384,115,613,9857,839,1914,9018,14953,519,90,932,5
2022,KY,Kentucky,21,South,East South Central,2892840,1431357,1461483,61341,2.12,270077,9.34,125333,4.33,6772,0.23,2429317,83.98,31233,131448,56800,3375,1208503,30109,138629,68533,3448,1220814,32951,1139,9346,22553,4261,17832,779,297,1220,19744,2283,6544,17461,35293,682,159,1194,121
2021,KY,Kentucky,21,South,East South Central,2898756,1435470,1463286,59327,2.05,267181,9.22,120066,4.14,6699,0.23,2445483,84.36,30197,130745,54077,3345,1217108,29131,136436,65989,3405,1228375,30621,1056,8750,20811,3683,17637,717,256,1205,18560,2067,5750,16493,34130,640,143,1127,127
2020,KY,Kentucky,21,South,East South Central,2910136,1440743,1469393,57873,1.99,266497,9.16,115405,3.97,6730,0.23,2463631,84.66,29585,130224,51664,3342,1225931,28289,136273,63741,3440,1237700,26676,916,8750,16874,2856,14941,579,198,1016,18552,2024,4880,16528,31469,637,140,1124,96
2019,KY,Kentucky,21,South,East South Central,2918305,1446272,1472033,56520,1.94,264724,9.07,112104,3.84,6799,0.23,2478158,84.92,28921,129581,49744,3383,1234646,27600,135143,62360,3468,1243512,37532,1286,10862,25312,4791,19628,867,331,1333,23082,2905,7696,20177,39805,790,200,1370,63
2018,KY,Kentucky,21,South,East South Central,2924340,1451230,1473110,54610,1.87,262359,8.97,109023,3.73,6898,0.24,2491450,85.2,28069,128825,47991,3432,1242916,26542,133534,61032,3518,1248534,38223,1307,11137,25929,4780,19243,886,329,1306,23431,3051,7831,20380,39623,801,210,1383,50
2017,KY,Kentucky,21,South,East South Central,2930536,1455501,1475035,53900,1.84,261029,8.91,104750,3.57,6906,0.24,2503951,85.44,27696,128346,45730,3448,1250284,26205,132683,59020,3510,1253667,36511,1245,11531,24499,4676,19012,836,321,1288,23543,3021,7697,20522,39534,803,207,1391,70
2016,KY,Kentucky,21,South,East South Central,2930413,1457557,1472856,51885,1.77,257599,8.79,100166,3.42,7016,0.24,2513747,85.78,26714,126880,43574,3514,1256878,25172,130719,56592,3554,1256869,35444,1209,11151,23573,4463,18195,804,306,1235,23022,2942,7405,20080,38275,785,201,1363,42
2015,KY,Kentucky,21,South,East South Central,2933780,1460919,1472861,49516,1.69,255512,8.71,97163,3.31,6999,0.24,2524590,86.05,25550,125990,42035,3482,1263865,23967,129522,55128,3569,1260725,34234,1166,9738,22271,3927,17589,759,268,1194,21701,2587,6514,19114,36703,739,177,1297,13
2022,LA,Louisiana,22,South,West South Central,2933911,1479759,1454152,65166,2.22,980908,33.43,167138,5.7,21539,0.73,1699160,57.91,33154,513863,76334,10877,845531,32012,467045,90804,10663,853629,44410,1513,14377,31491,2296,28314,1073,155,1947,27296,1436,3732,25860,54174,930,97,1778,73
2021,LA,Louisiana,22,South,West South Central,2972265,1497569,1474696,64780,2.18,994280,33.45,163684,5.51,21754,0.73,1727767,58.13,32700,520465,74148,10971,859285,32080,473815,89536,10783,868482,42556,1431,12843,29325,2032,26056,986,135,1766,26074,1225,3257,24849,50905,877,81,1685,161
2020,LA,Louisiana,22,South,West South Central,3000632,1511286,1489346,64968,2.17,1001642,33.38,161940,5.4,21756,0.73,1750326,58.33,32715,524785,72889,11014,869883,32253,476857,89051,10742,880443,39693,1322,13061,25790,1768,23672,859,117,1589,26964,1191,2959,25773,49445,898,78,1730,45
2019,LA,Louisiana,22,South,West South Central,3023510,1522463,1501047,64667,2.14,1005962,33.27,160229,5.3,21761,0.72,1770891,58.57,32554,527074,71801,10979,880055,32113,478888,88428,10782,890836,48381,1600,16567,33339,2485,28995,1102,163,1931,31609,1689,4174,29920,58915,1045,110,1993,102
2018,LA,Louisiana,22,South,West South Central,3043971,1533509,1510462,63910,2.1,1009493,33.16,157578,5.18,21813,0.72,1791177,58.84,32150,529064,70319,11023,890953,31760,480429,87259,10790,900224,46646,1532,17517,31766,2866,28281,1043,186,1872,32397,1748,4614,30649,58930,1064,113,2029,116
2017,LA,Louisiana,22,South,West South Central,3066326,1544594,1521732,63695,2.08,1012924,33.03,156220,5.09,21920,0.71,1811567,59.08,32006,530906,69342,11109,901231,31689,482018,86878,10811,910336,46570,1518,18587,31418,2988,27714,1024,193,1821,33739,1957,4945,31782,59496,1100,126,2088,127
2016,LA,Louisiana,22,South,West South Central,3087502,1554536,1532966,63590,2.06,1014795,32.87,155708,5.04,21843,0.71,1831566,59.32,31868,532000,68469,11085,911114,31722,482795,87239,10758,920452,45393,1470,20623,30334,2836,26755,982,182,1745,35682,1981,4817,33701,60456,1155,127,2198,128
2015,LA,Louisiana,22,South,West South Central,3092330,1557451,1534879,62480,2.02,1013315,32.77,153377,4.96,21791,0.7,1841367,59.55,31367,531693,66949,11024,916418,31113,481622,86428,10767,924949,50250,1625,17930,31803,2770,28364,1028,177,1848,36377,2046,4816,34331,62695,1176,131,2236,37
2022,MA,Massachusetts,25,Northeast,New England,4630640,2326978,2303662,401823,8.68,387956,8.38,622148,13.44,10724,0.23,3207989,69.28,209106,194343,309534,5400,1608595,192717,193613,312614,5324,1599394,12584,271,128,6711,480,6430,144,20,279,6001,224,704,5777,12207,129,9,250,64
2021,MA,Massachusetts,25,Northeast,New England,4663443,2342848,2320595,394153,8.45,384758,8.25,610427,13.09,10806,0.23,3263299,69.98,204584,193155,303491,5443,1636175,189569,191603,306936,5363,1627124,12022,257,171,6045,394,5785,129,16,249,6148,199,593,5949,11734,131,8,256,76
2020,MA,Massachusetts,25,Northeast,New England,4678998,2349249,2329749,387691,8.29,381425,8.15,601313,12.85,10873,0.23,3297696,70.48,200748,191787,298687,5471,1652556,186943,189638,302626,5402,1645140,12170,260,193,5601,237,5494,119,10,235,6762,198,435,6564,12058,144,8,281,57
2019,MA,Massachusetts,25,Northeast,New England,4717685,2372666,2345019,383499,8.13,380192,8.06,592582,12.56,10886,0.23,3350526,71.02,199270,191759,294602,5462,1681573,184229,188433,297980,5424,1668953,17083,362,277,9155,512,8745,194,21,372,8205,301,813,7904,16649,173,12,337,34
2018,MA,Massachusetts,25,Northeast,New England,4718053,2376640,2341413,373364,7.91,373800,7.92,580795,12.31,10957,0.23,3379137,71.62,194366,189120,288990,5511,1698653,178998,184680,291805,5446,1680484,17785,376,226,9319,569,8869,197,23,378,8692,524,1093,8168,17037,184,22,348,42
2017,MA,Massachusetts,25,Northeast,New England,4709896,2374946,2334950,364550,7.74,367843,7.81,561896,11.93,10903,0.23,3404704,72.29,189867,186382,279627,5475,1713595,174683,181461,282269,5428,1691109,19410,412,261,10538,644,9737,223,27,417,9133,531,1175,8602,18339,193,22,368,37
2016,MA,Massachusetts,25,Northeast,New England,4688538,2367473,2321065,350794,7.48,359806,7.67,542391,11.57,10855,0.23,3424692,73.04,182917,182827,270397,5432,1725900,167877,176979,271994,5423,1698792,19815,422,363,10775,623,9864,229,26,424,9403,583,1206,8820,18684,200,24,379,34
2015,MA,Massachusetts,25,Northeast,New England,4670047,2361836,2308211,337526,7.23,351797,7.53,524770,11.24,10842,0.23,3445112,73.77,176340,179269,262114,5424,1738689,161186,172528,262656,5418,1706423,20034,428,431,10543,573,10028,225,24,434,9922,654,1227,9268,19296,212,27,401,10
2022,MD,Maryland,24,South,South Atlantic,4011967,2030301,1981666,309489,7.71,1300821,32.42,463644,11.56,11985,0.3,1926028,48.01,161882,685159,220038,6231,956991,147607,615662,243606,5754,969037,23788,592,137,8288,848,7422,206,41,374,15637,551,1399,15086,22508,389,27,761,74
2021,MD,Maryland,24,South,South Atlantic,4042147,2045544,1996603,306752,7.59,1305147,32.29,452657,11.2,12208,0.3,1965383,48.62,160377,687651,214173,6349,976994,146375,617496,238484,5859,988389,23238,574,115,8219,716,7462,203,35,373,15134,518,1234,14616,22078,374,25,732,86
2020,MD,Maryland,24,South,South Atlantic,4054927,2052355,2002572,303627,7.49,1304028,32.16,443394,10.93,12365,0.3,1991513,49.11,158800,687773,209115,6428,990239,144827,616255,234279,5937,1001274,22120,545,143,6640,557,6082,163,27,303,15623,518,1075,15105,21187,385,25,754,50
2019,MD,Maryland,24,South,South Atlantic,4068006,2060897,2007109,301259,7.41,1301451,31.99,433341,10.65,12401,0.3,2019554,49.64,157720,687561,203910,6446,1005260,143539,613890,229431,5955,1014294,27118,666,109,8632,973,7689,212,47,383,18595,731,1704,17864,25553,457,35,890,61
2018,MD,Maryland,24,South,South Atlantic,4072373,2065392,2006981,297412,7.3,1294355,31.78,422144,10.37,12471,0.31,2045991,50.24,155806,685150,198389,6501,1019546,141606,609205,223755,5970,1026445,28007,687,107,9258,1156,8400,227,55,418,18856,823,1979,18033,26433,463,39,898,57
2017,MD,Maryland,24,South,South Atlantic,4076936,2069516,2007420,294256,7.22,1288448,31.6,409650,10.05,12510,0.31,2072072,50.82,154356,683263,191893,6514,1033490,139900,605185,217757,5996,1038582,28689,703,58,9380,1232,8398,230,59,418,19367,848,2080,18519,26917,475,40,922,57
2016,MD,Maryland,24,South,South Atlantic,4073130,2070070,2003060,288327,7.08,1278814,31.4,397429,9.76,12528,0.31,2096032,51.46,151509,679177,185975,6567,1046842,136818,599637,211454,5961,1049190,29042,713,94,9142,1053,7734,224,50,386,19994,822,1875,19172,26906,490,39,957,49
2015,MD,Maryland,24,South,South Atlantic,4072051,2072755,1999296,282665,6.94,1271254,31.22,386132,9.48,12553,0.31,2119447,52.05,148828,676969,180283,6602,1060073,133837,594285,205849,5951,1059374,30453,747,163,9852,1050,8234,241,50,411,20764,915,1965,19849,28083,509,44,992,25
